Cd,Cs,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4
0.1,0.1,0.2002,0.2002,0.2402,0.2402,0.2803
0.2,0.1,0.4004,0.4004,0.4404,0.4404,0.4805
0.5,0.1,1.0010,1.0010,1.0410,1.0410,1.0811
1.0,0.1,2.0020,2.0020,2.0420,2.0420,2.0821
2.0,0.1,4.0040,4.0040,4.0440,4.0440,4.0841
5.0,0.1,10.0100,10.0100,10.0100,10.0501,10.0901
8.0,0.1,16.0160,16.0160,16.0160,16.0561,16.0961
10.0,0.1,20.0200,20.0200,20.0200,20.0601,20.1001
0.1,0.2,0.2002,0.2402,0.2402,0.3203,0.3604
0.2,0.2,0.4004,0.4404,0.4404,0.5205,0.5606
0.5,0.2,1.0010,1.0410,1.0410,1.1211,1.1612
1.0,0.2,2.0020,2.0420,2.0420,2.1221,2.1622
2.0,0.2,4.0040,4.0440,4.0440,4.1241,4.1642
5.0,0.2,10.0100,10.0100,10.0501,10.0901,10.1702
8.0,0.2,16.0160,16.0160,16.0561,16.0961,16.1762
10.0,0.2,20.0200,20.0200,20.0601,20.1001,20.1802
0.1,0.5,0.2002,0.2803,0.3604,0.4805,0.6406
0.2,0.5,0.4004,0.4404,0.5606,0.6807,0.8408
0.5,0.5,1.0010,1.0410,1.1612,1.2813,1.4414
1.0,0.5,2.0020,2.0420,2.1221,2.2823,2.4424
2.0,0.5,4.0040,4.0440,4.1241,4.2442,4.4044
5.0,0.5,10.0100,10.0501,10.1301,10.2503,10.4104
8.0,0.5,16.0160,16.0561,16.1361,16.2563,16.4164
10.0,0.5,20.0200,20.0601,20.1401,20.2603,20.4204
0.1,1.0,0.2402,0.3203,0.4805,0.7207,1.0410
0.2,1.0,0.4404,0.5205,0.6807,0.9209,1.2412
0.5,1.0,1.0410,1.1211,1.2813,1.5215,1.8418
1.0,1.0,2.0420,2.1221,2.2823,2.5225,2.8428
2.0,1.0,4.0440,4.1241,4.2843,4.5245,4.8448
5.0,1.0,10.0501,10.1301,10.2903,10.5305,10.8509
8.0,1.0,16.0160,16.1361,16.2963,16.5365,16.8569
10.0,1.0,20.0200,20.1401,20.3003,20.5405,20.8609
0.1,2.0,0.2803,0.4404,0.7608,1.2412,1.8819
0.2,2.0,0.4805,0.6406,0.9610,1.4414,2.0821
0.5,2.0,1.0410,1.2412,1.5616,2.0420,2.6827
1.0,2.0,2.0420,2.2422,2.5626,3.0430,3.6837
2.0,2.0,4.0440,4.2442,4.5646,5.0450,5.6857
5.0,2.0,10.0501,10.2503,10.5706,11.0511,11.6917
8.0,2.0,16.0561,16.2563,16.5766,17.0571,17.6977
10.0,2.0,20.0200,20.2202,20.5205,21.0210,21.7217
0.1,5.0,0.3604,0.8008,1.6016,2.8428,11.9720
0.2,5.0,0.5606,1.0010,1.8018,3.0430,12.1722
0.5,5.0,1.1612,1.6016,2.4024,3.6436,12.7728
1.0,5.0,2.1622,2.6026,3.4034,4.6446,13.7738
2.0,5.0,4.1642,4.6046,5.4054,6.6466,15.7758
5.0,5.0,10.1101,10.6106,11.4114,12.6126,14.0000
8.0,5.0,16.1361,16.6166,17.4174,18.6186,27.7477
10.0,5.0,20.1401,20.6206,21.4214,22.6226,31.7518
0.1,8.0,0.4404,1.1612,2.4825,4.4044,14.4945
0.2,8.0,0.6406,1.3614,2.6827,4.6046,14.6947
0.5,8.0,1.2412,1.9620,3.2833,5.2052,15.2953
1.0,8.0,2.2422,2.9630,4.2843,6.2062,16.2963
2.0,8.0,4.2442,4.9650,6.2863,8.2082,18.2983
5.0,8.0,10.2503,10.9710,12.2923,14.2142,24.3043
8.0,8.0,16.2563,16.9770,18.2583,20.2202,30.3103
10.0,8.0,20.2603,20.9810,22.2623,24.1842,34.3143
0.1,10.0,0.5205,1.4014,3.0430,5.4454,16.2162
0.2,10.0,0.7207,1.6016,3.2432,5.6456,16.4164
0.5,10.0,1.3213,2.2022,3.8438,6.2462,17.0170
1.0,10.0,2.3223,3.2032,4.8448,7.2472,18.0180
2.0,10.0,4.2843,5.2052,6.8468,9.2492,20.0200
5.0,10.0,10.2903,11.2112,12.8529,15.2553,25.9860
8.0,10.0,16.2963,17.2172,18.8589,21.2613,31.9920
10.0,10.0,20.3003,21.2212,22.8228,25.2653,35.9960
0.0,10.0,0.3003,1.2012,2.8028,5.2052,16.0160
10.0,4.0,20.1201,20.5205,21.1211,22.1221,23.4234
10.0,15.0,20.4204,21.8218,24.2242,40.1401,47.7477
